,run,Iteration,loss,batch_size,data_percentage,nb_of_iter,shuffle
0,1,1,1577.967041015625,20,25,20,False
1,1,2,1791.5899658203125,20,25,20,False
2,1,3,1507.45556640625,20,25,20,False
3,1,4,2025.4383544921875,20,25,20,False
4,1,5,1556.5870361328125,20,25,20,False
5,1,6,2022.3426513671875,20,25,20,False
6,1,7,1553.1092529296875,20,25,20,False
7,1,8,1759.877685546875,20,25,20,False
8,1,9,1627.0509033203125,20,25,20,False
9,1,10,1647.276123046875,20,25,20,False
10,1,11,1759.8590087890625,20,25,20,False
11,1,12,1537.6602783203125,20,25,20,False
12,1,13,2080.775634765625,20,25,20,False
13,1,14,1555.995849609375,20,25,20,False
14,1,15,2028.35791015625,20,25,20,False
15,1,16,1462.6632080078125,20,25,20,False
16,1,17,1736.7274169921875,20,25,20,False
17,1,18,1605.1737060546875,20,25,20,False
18,1,19,1604.5843505859375,20,25,20,False
19,1,20,1723.888916015625,20,25,20,False
20,2,1,1574.5518798828125,20,50,20,False
21,2,2,1754.0242919921875,20,50,20,False
22,2,3,1530.264892578125,20,50,20,False
23,2,4,2113.5107421875,20,50,20,False
24,2,5,1526.5518798828125,20,50,20,False
25,2,6,2009.1680908203125,20,50,20,False
26,2,7,1479.0771484375,20,50,20,False
27,2,8,1734.896484375,20,50,20,False
28,2,9,1617.6220703125,20,50,20,False
29,2,10,1623.20166015625,20,50,20,False
30,2,11,1761.3909912109375,20,50,20,False
31,2,12,1639.990966796875,20,50,20,False
32,2,13,1830.308349609375,20,50,20,False
33,2,14,1914.7581787109375,20,50,20,False
34,2,15,1817.650390625,20,50,20,False
35,2,16,1882.8800048828125,20,50,20,False
36,2,17,1841.860595703125,20,50,20,False
37,2,18,1581.329833984375,20,50,20,False
38,2,19,1671.2603759765625,20,50,20,False
39,2,20,1817.3310546875,20,50,20,False
